review_id,course_id,review_text,rating,professor,date,source
CMSC131_434,CMSC131,"This course was significantly more difficult than other sections of the same course due to the instructor's exam design and grading policies. While rigor is expected, the level of difficulty combined with the lack of dropped assignments (even one quiz would have helped) created a grading structure that was inequitable across sections. 

Although this course was described as ""beginner-friendly,"" in practice, it was not due to the nature of the harsh exams which did not reflect the difficulty of the practice he had provided. For students new to the subject, this made the course especially challenging to navigate.

As a result, receiving one poor exam score had a disproportionate impact on your final grade. This leaves no room for error for future assessments.

Students should carefully consider their coding background before enrolling in this section. Given the exam difficulty and grading structure, I would not recommend this course for beginners.",1,Pedram Sadeghian,2025-12-24T15:02:52.277848Z,PlanetTerp
CMSC131_433,CMSC131,"Pedram is a good CMSC131 Professor.

The lectures are really good at explaining the concepts. As a person who never took AP Comp Sci and wasn't familiar with OOP, he did a really good job explaining it and other concepts I wasn't familiar with like recursion. His drawings of memory maps really help you understand what's going on. The other reviews are right that his lectures can be a bit monotone and on days where I was a bit tired it was easy to drift off.

The projects are nice and straightforward and you shouldn't have trouble finishing them if you start on time and get help if you need it.

The quizzes and exams are all doable. I know some people say he has hard exams (and it does seem to be this way compared to Elias and Nora), but they're all doable if you know the content from the lecture and do the practice he gives you. He also gives you nice review material for each quiz and exam (except for the final).

Tips to succeed:
- Attend every lecture. Attending them in-person helps you learn all the content at a nice pace. 
- Attend discussion. Before quizzes and exams, they are very useful for review and letting you know what will be on the quiz/exam. They are also helpful for learning specific things you may need for the projects and giving extra examples/questions to solidify the concepts. Some content (not a lot) is only taught in discussion.
- Start projects early, try not to push them to the last minute. You’ll learn more from them.
- Have a plan to study for each quiz/exam. This doesn’t have to be super thought out, but plan enough that you don’t need to cram the day before/of. A decent bit of time before each quiz or exam, Pedram will post details about it on Piazza where he usually gives a worksheet to work through and past papers. At least, give yourself enough time to work through all of it without rushing. Do all the practice he gives you. Going through the code examples in the zip files provided with each slide and making sure you understand what’s going on can be helpful. Exams and quizzes combined are a large part of the class grade so prepare for them well.",5,Pedram Sadeghian,2025-12-24T01:27:34.139856Z,PlanetTerp
CMSC131_432,CMSC131,"One of the most understanding, knowledgeable, personable, and funny people I've ever met within the professional sphere of computer science. This dude is great, and buy his game on Steam.",5,Auguste Gezalyan,2025-12-23T03:34:06.433213Z,PlanetTerp
CMSC131_431,CMSC131,She is a super nice person but not the best at lecturing or teaching the class. Her slides are really good and you can learn a lot from the slides. She shows the slides and does live coding demos in class. If you pay attention in class and have decent prior knowledge of the topics you will be ok. Honestly not the best prof but if you can learn on your own and read slides you will be definitely good for 131.,3,Nora Burkhauser,2025-12-22T02:50:20.191233Z,PlanetTerp
CMSC131_430,CMSC131,amazing professor! Very fair exams and rules,5,Elias Gonzalez,2025-12-20T20:11:47.542528Z,PlanetTerp
CMSC131_429,CMSC131,"Pedram is a very good instructor: from what I saw and experienced, he always cares about his students and if you ever have any questions during lecture, he's more than willing to answer. Lectures were often broken up into 2 sections with a short break in the middle, and were always recorded with the slides being posted as well. I see a lot of people saying that he's monotone or lectures are boring, however I saw it more so as Pedram wanting to be as straightforward as possible when communicating content. Pedram and the TAs were also very responsive on Piazza for any questions that came up outside of class time.

CMSC 131 is just a tough course in general (in my eyes coming from someone who didn't have a lot of programming experience beforehand), however Pedram was always very approachable and helpful if there was something confusing and made it a bit easier. In my opinion, if you're willing to put in the work in classes, you will come away with a good grade, and learn a lot in the process.",5,Pedram Sadeghian,2025-12-20T06:47:07.222901Z,PlanetTerp
CMSC131_428,CMSC131,"Overall, Pedram is a solid professor. He explains concepts clearly ( even if boring) , is approachable, and makes the class manageable. He records his lectures, gives a short mid-lecture break, and provides detailed exam and quiz outlines, which were especially helpful when studying.
Where he tends to fall short is in exam alignment. The material taught in lecture and shown on practice exams is often much easier than what appears on the actual exams. As a result, the real exams feel significantly harder and less representative of what we are given. This is reflected in the exam averages, which were around a C surprisingly low for an introductory CS course where many students already have prior coding experience.
Because of this, I would not recommend this class with Pedram as a first exposure to coding. However, for students who already have programming experience and can handle higher-difficulty exam questions, he is a reasonable choice and overall a decent professor.",3,Pedram Sadeghian,2025-12-19T03:17:36.874474Z,PlanetTerp
CMSC131_427,CMSC131,"I think this is one of the most fair reviews you will get as this was my first ever computer science course ever. The only reason he is not a 1 star is because he records lectures, is a nice person, and does the bare minimum for previous quizzes and practice exams. But when it comes to being an actual professor he is simply not good at all. I do not get why other people are giving high reviews if they think he is boring. Many students skip his lectures because he often just goes through some half baked slides and goes on tangents about something we never need to learn or a concept we learned weeks ago in class. When it comes to teaching concepts, he does almost everything poorly except for memory maps which aren't on any of our classes exams or finals but it was for other students. Also his exams 1 and 3 as well as quizzes 3 and 5 were completely different and way more difficult then his practice exams. ANOTHER big issue with Pedram was his timing. We learned all the material for exam 3 way before thanksgiving break but instead our exam was right after break. Many people including myself would have much rather spent time with our families instead of studying for a class in which other professors gave their students their 3rd exam before break. All the other classes had way more time to study for finals and I was even using other classes study material to learn concepts because what Pedram gives simply is not good enough. Lastly, discussions were pretty much useless unless it was a day before a quiz or exam. I would learn a concept from brocode 10x quicker then a discussion, and I do not get why our quizzes were not in there like the other CS Classes so we could actually learn content in class.",2,Pedram Sadeghian,2025-12-18T14:13:08.153376Z,PlanetTerp
CMSC131_426,CMSC131,"Highkey a bum professor, his lectures are recorded but are very boring. This year he decided to change the curriculum, meaning that all his previous exams/quizzes were useless. This gave Pedram the chance to make them annoyingly hard, no matter how much you studied. If you know the material beforehand then you are fine, but if not then you might be in some trouble. This is known as one of the weed out classes, however no need for him to make his exams so much harder than what he did previous years.",2,Pedram Sadeghian,2025-12-17T15:55:37.135662Z,PlanetTerp
CMSC131_425,CMSC131,"The absolute best. Explains concepts very clearly and shows that she really cares about the students that she teaches during discussion.  If I could could give her 6 stars I would, you will not find a better TA than her!",5,Tiffany Lu,2025-12-16T23:32:44.022962Z,PlanetTerp
